created,modified,id,signalman_id,status,longitude,latitude,altitude
06:44.4,06:44.4,28545,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
06:49.7,06:49.7,28546,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78670488,32.09246314,6.933742523
06:53.1,06:53.1,28547,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
06:54.3,06:54.3,28548,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
06:57.2,06:57.2,28549,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7866195,32.0923793,30.9193919
07:03.1,07:03.1,28550,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
07:04.3,07:04.3,28551,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
07:04.3,07:04.3,28552,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78717393,32.09252186,5.824306488
07:12.3,07:12.3,28553,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7870349,32.0925065,33.49052121
07:12.9,07:12.9,28554,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
07:14.3,07:14.3,28555,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
07:20.4,07:20.4,28556,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78722272,32.09295784,6.821071625
07:22.8,07:22.8,28557,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
07:24.3,07:24.3,28558,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
07:27.2,07:27.2,28559,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7871985,32.0929173,33.96741143
07:33.1,07:33.1,28560,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
07:34.2,07:34.2,28561,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
07:35.0,07:35.0,28562,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78725314,32.09331868,6.706447601
07:42.5,07:42.5,28563,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.787218,32.0932507,28.06321234
07:42.9,07:42.9,28564,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
07:44.4,07:44.4,28565,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
07:51.0,07:51.0,28566,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78717427,32.09366691,6.759243011
07:53.0,07:53.0,28567,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
07:54.3,07:54.3,28568,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
07:57.2,07:57.2,28569,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7872284,32.0937571,27.02211533
08:03.0,08:03.0,28570,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
08:04.3,08:04.3,28571,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
08:05.8,08:05.8,28572,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78724577,32.09404066,7.161586761
08:12.2,08:12.2,28573,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7874253,32.0938997,28.60956318
08:12.9,08:12.9,28574,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
08:14.3,08:14.3,28575,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
08:21.4,08:21.4,28576,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78737745,32.09435431,8.289211273
08:23.0,08:23.0,28577,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
08:24.3,08:24.3,28578,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
08:27.2,08:27.2,28579,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7872146,32.0942133,32.80891764
08:33.1,08:33.1,28580,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
08:34.3,08:34.3,28581,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
08:36.6,08:36.6,28582,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78735565,32.09477982,8.319057465
08:42.6,08:42.6,28583,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7872011,32.0946001,45.32162575
08:43.0,08:43.0,28584,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
08:44.4,08:44.4,28585,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
08:52.5,08:52.5,28586,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78729304,32.09519233,7.532375336
08:53.0,08:53.0,28587,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
08:54.4,08:54.4,28588,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
08:57.6,08:57.6,28589,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7873637,32.0949451,38.03344293
09:03.1,09:03.1,28590,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
09:04.3,09:04.3,28591,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
09:07.7,09:07.7,28592,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78734484,32.09554609,7.952297211
09:12.6,09:12.6,28593,5f20ab04-5080-4612-b49d-c5a34844f282,enabled,34.7873411,32.0951535,39.77514787
09:12.9,09:12.9,28594,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
09:14.3,09:14.3,28595,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
09:23.6,09:23.6,28596,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78722389,32.09589105,6.78030014
09:24.3,09:24.3,28597,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78547442,32.09279209,4.319667816
09:24.9,09:24.9,28598,6c8dce56-da40-4c5e-9bba-eedc513fe4c9,enabled,34.78634555,32.09188894,18.37435532
